date,package,count
2019-04-19,agricolae,507
2019-04-20,agricolae,257
2019-04-21,agricolae,287
2019-04-22,agricolae,684
2019-04-23,agricolae,765
2019-04-24,agricolae,692
2019-04-25,agricolae,762
2019-04-26,agricolae,643
2019-04-27,agricolae,364
2019-04-28,agricolae,348
2019-04-29,agricolae,685
2019-04-30,agricolae,651
2019-05-01,agricolae,619
2019-05-02,agricolae,899
2019-05-03,agricolae,715
2019-05-04,agricolae,367
2019-05-05,agricolae,320
2019-05-06,agricolae,706
2019-05-07,agricolae,738
2019-05-08,agricolae,727
2019-05-09,agricolae,841
2019-05-10,agricolae,710
2019-05-11,agricolae,347
2019-05-12,agricolae,317
2019-05-13,agricolae,711
2019-05-14,agricolae,771
2019-05-15,agricolae,695
2019-05-16,agricolae,595
2019-05-17,agricolae,569
2019-05-18,agricolae,357
2019-05-19,agricolae,289
2019-05-20,agricolae,718
2019-05-21,agricolae,659
2019-05-22,agricolae,704
2019-05-23,agricolae,635
2019-05-24,agricolae,576
2019-05-25,agricolae,291
2019-05-26,agricolae,303
2019-05-27,agricolae,584
2019-05-28,agricolae,662
2019-05-29,agricolae,681
2019-05-30,agricolae,510
2019-05-31,agricolae,440
2019-06-01,agricolae,280
2019-06-02,agricolae,247
2019-06-03,agricolae,563
2019-06-04,agricolae,565
2019-06-05,agricolae,532
2019-06-06,agricolae,576
2019-06-07,agricolae,451
2019-06-08,agricolae,279
2019-06-09,agricolae,246
2019-06-10,agricolae,558
2019-06-11,agricolae,620
2019-06-12,agricolae,579
2019-06-13,agricolae,459
2019-06-14,agricolae,484
2019-06-15,agricolae,320
2019-06-16,agricolae,244
2019-06-17,agricolae,601
2019-06-18,agricolae,589
2019-06-19,agricolae,595
2019-06-20,agricolae,482
2019-06-21,agricolae,390
2019-06-22,agricolae,235
2019-06-23,agricolae,197
2019-06-24,agricolae,435
2019-06-25,agricolae,481
2019-06-26,agricolae,433
2019-06-27,agricolae,404
2019-06-28,agricolae,432
2019-06-29,agricolae,243
2019-06-30,agricolae,234
2019-07-01,agricolae,447
2019-07-02,agricolae,428
2019-07-03,agricolae,486
